UT,AB
WOS:000988607500001,"This article examines the relationship between ethnic-based gender norms and conflict-related sexual violence. We generate a novel dyadic data set that contains information on the ethnic identity of all the actors involved in ethnic civil conflicts around the world between 1989 and 2019 and their use of sexual violence. We exploit ethnographic information to construct a new male dominance index at the ethnicity level that captures deep-rooted gender norms. First, we find that male-dominant armed actors are more likely to be perpetrators of sexual violence. Second, we consider the cultural distance in gender norms between the combatants and show that sexual violence is driven by a specific clash of conceptions on the appropriate role of men and women in society: sexual violence increases when the perpetrator is more male dominant than the victim. Additional analyses suggest that gender norms influence both the strategic use of sexual violence for military purposes and the expressive use of sexual violence for private motivations. These patterns are specific to sexual violence and do not explain general violence in a conflict. Differences in other cultural dimensions unrelated to gender are not associated with conflict-related sexual violence."
WOS:000868979600001,"This article uses administrative tax data to estimate top wealth in the United States. We assemble new data that link people to their sources of capital income and develop new methods to estimate the degree of return heterogeneity within asset classes. Disaggregated fixed-income data reveal that rich individuals earn much more of their interest income in higher-yielding forms and have much greater exposure to credit risk. Consequently, in recent years, the interest rate on fixed income at the top is approximately 3.5 times higher than the average. We value the population of U.S. firms using firm-level characteristics and apportion this wealth using firm-owner links. We combine this new data on fixed income and pass-through business returns with refined estimates of C-corporation equity, housing, and pension wealth to deliver new capitalized wealth estimates that build upon the methods of . From 1989 to 2016, the top 1%, 0.1%, and 0.01% wealth shares increased by 6.6, 4.6, and 2.9 percentage points, respectively, to 33.7%, 15.7%, and 7.1%. Overall, although we estimate a large degree of return heterogeneity, accounting for this heterogeneity does not change the fundamental story for top wealth shares and their growth-wealth inequality is high and has risen substantially over recent decades."
WOS:000813226900001,"Using a randomized experiment with an automobile manufacturing firm in China, we measure the effects of letting workers evaluate their managers on worker and firm outcomes. In the treatment teams, workers evaluate their managers monthly. We find that providing feedback leads to significant reductions in worker turnover and increases in team-level productivity. In addition, workers report higher levels of happiness and well-being. The evidence suggests that these results are driven by learning by managers, leading to changes in their behavior and an overall better relationship between managers and workers."
WOS:000784752700001,"The earnings of individuals depend on the demand for the factor services they supply. International trade may therefore affect earnings inequality because either (i) foreign consumers and firms demand domestic factor services in different proportions than domestic consumers and firms do, an export channel; or (ii) domestic consumers and firms change their demand for domestic factor services in response to the availability of foreign goods, an import channel. Building on this idea, we develop new measures of export and import exposure at the individual level and provide estimates of their incidence across the earnings distribution. The key input fed into our empirical analysis is a unique administrative data set from Ecuador that merges firm-to-firm transaction data, employer-employee matched data, owner-firm matched data, and firm-level customs transaction records. We find that export exposure is pro-middle class, import exposure is pro-rich, and in terms of overall incidence, the import channel is the dominant force. As a result, earnings inequality in Ecuador is higher than it would be in the absence of trade."
WOS:000642334600003,"We explore the interplay between trade-invoicing patterns and the pricing of safe assets in different currencies. Our theory highlights the following points: (i) a currency's role as a unit of account for invoicing decisions is complementary to its role as a safe store of value; (ii) this complementarity can lead to the emergence of a single dominant currency in trade invoicing and global banking, even when multiple large candidate countries share similar economic fundamentals; (iii) firms in emerging-market countries endogenously take on currency mismatches by borrowing in the dominant currency; and (iv) the expected return on dominant-currency safe assets is lower than that on similarly safe assets denominated in other currencies, thereby bestowing an ""exorbitant privilege"" on the dominant currency. The theory thus provides a unified explanation for why a dominant currency is so heavily used in both trade invoicing and in global finance."
WOS:000612198000011,"I study how a credit crunch affects output price dynamics. I build a unique micro-level data set that combines scanner-level prices and quantities with producer information, including the producer's banking relationships, inventory, and cash holdings. I exploit the Lehman Brothers failure as a quasi-experiment and find that the firms facing a negative credit supply shock decrease their output prices approximately 15% more than their unaffected counterparts. I hypothesize that such firms reduce prices to liquidate inventory and generate additional cash flow from the product market. I find strong empirical support for this hypothesis: (i) the firms that face a negative bank shock temporarily decrease their prices and inventory and increase their market share and cash holdings relative to their counterparts, and (ii) this effect is stronger for the firms and sectors with a high initial inventory or small initial cash holdings."
WOS:000489163400003,"We study the causes of ""nutritional inequality"": why the wealthy eat more healthfully than the poor in the United States. Exploiting supermarket entry and household moves to healthier neighborhoods, we reject that neighborhood environments contribute meaningfully to nutritional inequality. We then estimate a structural model of grocery demand, using a new instrument exploiting the combination of grocery retail chains' differing presence across geographic markets with their differing comparative advantages across product groups. Counterfactual simulations show that exposing low-income households to the same products and prices available to high-income households reduces nutritional inequality by only about 10%, while the remaining 90% is driven by differences in demand. These findings counter the argument that policies to increase the supply of healthy groceries could play an important role in reducing nutritional inequality. D12, I12, I14, L81, R20."
WOS:000489161300005,"By how much does an extension of unemployment benefits affect macroeconomic outcomes such as unemployment? Answering this question is challenging because U.S. law extends benefits for states experiencing high unemployment. We use data revisions to decompose the variation in the duration of benefits into the part coming from actual differences in economic conditions and the part coming from measurement error in the real-time data used to determine benefit extensions. Using only the variation coming from measurement error, we find that benefit extensions have a limited influence on state-level macroeconomic outcomes. We apply our estimates to the increase in the duration of benefits during the Great Recession and find that they increased the unemployment rate by at most 0.3 percentage point. JEL Codes: E24, E62, J64, J65."
WOS:000435871300001,"This article combines tax, survey, and national accounts data to estimate the distribution of national income in the United States since 1913. Our distributional national accounts capture 100% of national income, allowing us to compute growth rates for each quantile of the income distribution consistent with macroeconomic growth. We estimate the distribution of both pretax and posttax income, making it possible to provide a comprehensive view of how government redistribution affects inequality. Average pretax real national income per adult has increased 60% from 1980 to 2014, but we find that it has stagnated for the bottom 50% of the distribution at about $16,000 a year. The pretax income of the middle class-adults between the median and the 90th percentile-has grown 40% since 1980, faster than what tax and survey data suggest, due in particular to the rise of tax-exempt fringe benefits. Income has boomed at the top. The upsurge of top incomes was first a labor income phenomenon but has mostly been a capital income phenomenon since 2000. The government has offset only a small fraction of the increase in inequality. The reduction of the gender gap in earnings has mitigated the increase in inequality among adults, but the share of women falls steeply as one moves up the labor income distribution, and is only 11% in the top 0.1% in 2014."
WOS:000423802600008,"For 40 years, the Tuskegee Study of Untreated Syphilis in the Negro Male passively monitored hundreds of adult black men with syphilis despite the availability of effective treatment. The study's methods have become synonymous with exploitation and mistreatment by the medical profession. To identify the study's effects on the behavior and health of older black men, we use an interacted difference-in-difference-in-differences model, comparing older black men to other demographic groups, before and after the Tuskegee revelation, in varying proximity to the study's victims. We find that the disclosure of the study in 1972 is correlated with increases in medical mistrust and mortality and decreases in both outpatient and inpatient physician interactions for older black men. Our estimates imply life expectancy at age 45 for black men fell by up to 1.5 years in response to the disclosure, accounting for approximately 35% of the 1980 life expectancy gap between black and white men and 25% of the gap between black men and women."
