UT,AU,AF,C1
WOS:000988607500001,"Guarnieri, E; Tur-Prats, A","Guarnieri, Eleonora; Tur-Prats, Ana","[Guarnieri, Eleonora] Univ Exeter, Exeter, England; CESifo, Munich, Germany; Univ Calif Merced, Merced, CA USA"
WOS:000868979600001,"Smith, M; Zidar, O; Zwick, E","Smith, Matthew; Zidar, Owen; Zwick, Eric","[Smith, Matthew] US Treasury Dept, Washington, DC 20220 USA; Princeton Univ, Princeton, NJ 08544 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA"
WOS:000813226900001,"Cai, J; Wang, SY","Cai, Jing; Wang, Shing-Yi","[Cai, Jing] Univ Maryland, NBER, College Pk, MD 20742 USA; Bur Res & Econ Anal Dev, Suitland, MD 20746 USA; NBER, Cambridge, MA USA"
WOS:000784752700001,"Adao, R; Carrillo, P; Costinot, A; Donaldson, D; Pomeranz, D","Adao, Rodrigo; Carrillo, Paul; Costinot, Arnaud; Donaldson, Dave; Pomeranz, Dina","[Adao, Rodrigo] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; George Washington Univ, Washington, DC 20052 USA; MIT, Cambridge, MA 02139 USA; Univ Zurich, Zurich, Switzerland"
WOS:000642334600003,"Gopinath, G; Stein, JC","Gopinath, Gita; Stein, Jeremy C.","[Gopinath, Gita; Stein, Jeremy C.] Harvard Univ, Cambridge, MA 02138 USA; [Gopinath, Gita; Stein, Jeremy C.] NBER, Cambridge, MA 02138 USA"
WOS:000612198000011,"Kim, R","Kim, Ryan","[Kim, Ryan] Johns Hopkins Univ, Baltimore, MD 21218 USA"
WOS:000489163400003,"Allcott, H; Diamond, R; Dubé, JP; Handbury, J; Rahkovsky, I; Schnell, M","Allcott, Hunt; Diamond, Rebecca; Dube, Jean-Pierre; Handbury, Jessie; Rahkovsky, Ilya; Schnell, Molly","[Allcott, Hunt] NYU, New York, NY 10003 USA; [Allcott, Hunt; Diamond, Rebecca; Dube, Jean-Pierre; Handbury, Jessie; Schnell, Molly] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Diamond, Rebecca] Stanford Grad Sch Business, Stanford, CA USA; [Dube, Jean-Pierre] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; [Rahkovsky, Ilya] USDA, Washington, DC 20250 USA; [Allcott, Hunt; Schnell, Molly] Northwestern Univ, Evanston, IL 60208 USA"
WOS:000489161300005,"Chodorow-Reich, G; Coglianese, J; Karabarbounis, L","Chodorow-Reich, Gabriel; Coglianese, John; Karabarbounis, Loukas","[Chodorow-Reich, Gabriel] Harvard Univ, Cambridge, MA 02138 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; [Coglianese, John] Fed Reserve Board Governors, Washington, DC USA; [Karabarbounis, Loukas] Univ Minnesota, Minneapolis, MN 55455 USA; [Karabarbounis, Loukas] Fed Reserve Bank, Minneapolis, MN USA"
WOS:000435871300001,"Piketty, T; Saez, E; Zucman, G","Piketty, Thomas; Saez, Emmanuel; Zucman, Gabriel","[Piketty, Thomas] Univ Calif Berkeley, Paris Sch Econ, Berkeley, CA 94720 USA; Univ Calif Berkeley, Natl Bur Econ Res, Berkeley, CA 94720 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000423802600008,"Alsan, M; Wanamaker, M","Alsan, Marcella; Wanamaker, Marianne","[Alsan, Marcella] Bur Res & Econ Anal Dev, Cambridge, MA 02138 USA; Univ Tennessee, Natl Bur Econ Res, Knoxville, TN 37996 USA; Inst Labor Econ, Bonn, Germany"
WOS:000412764300005,"Mian, A; Sufi, A; Verner, E","Mian, Atif; Sufi, Amir; Verner, Emil","[Mian, Atif] Princeton Univ, Princeton, NJ 08544 USA; Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA"
WOS:000406177000010,"Polborn, MK; Snyder, JM","Polborn, Mattias K.; Snyder, James M., Jr.","[Polborn, Mattias K.] Vanderbilt Univ, Dept Econ, 221 Kirkland Hall, Nashville, TN 37235 USA; Vanderbilt Univ, Dept Polit Sci, 221 Kirkland Hall, Nashville, TN 37235 USA; Harvard Univ, Dept Govt, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA"
WOS:000383326100010,"Barrot, JN; Sauvagnat, J","Barrot, Jean-Noel; Sauvagnat, Julien","[Barrot, Jean-Noel] MIT, Cambridge, MA 02139 USA; CEPR, Washington, DC USA; Bocconi Univ, Milan, Italy; IGIER, Milan, Italy"
WOS:000383326100004,"Spiegler, R","Spiegler, Ran","[Spiegler, Ran] Tel Aviv Univ, IL-69978 Tel Aviv, Israel; [Spiegler, Ran] UCL, London WC1E 6BT, England; [Spiegler, Ran] Ctr Macroecon, London, England"
WOS:000359638900007,"Bursztyn, L; Jensen, R","Bursztyn, Leonardo; Jensen, Robert","[Bursztyn, Leonardo] Univ Calif Los Angeles, Anderson Sch Management, Los Angeles, CA 90024 USA; Univ Penn, Wharton Sch, NBER, Philadelphia, PA 19104 USA; NBER, Cambridge, MA 02138 USA"
WOS:000359638900008,"Gabaix, X; Maggiori, M","Gabaix, Xavier; Maggiori, Matteo","[Gabaix, Xavier; Maggiori, Matteo] Harvard Univ, NYU, Stern Sch Business, Cambridge, MA 02138 USA"
WOS:000354733000001,"Michaillat, P; Saez, E","Michaillat, Pascal; Saez, Emmanuel","[Michaillat, Pascal] Univ London London Sch Econ & Polit Sci, London WC2A 2AE, England; Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000346660500004,"Dahl, GB; Kostol, AR; Mogstad, M","Dahl, Gordon B.; Kostol, Andreas Ravndal; Mogstad, Magne","[Dahl, Gordon B.] Univ Calif San Diego, San Diego, CA 92103 USA; Stat Norway, Oslo, Norway; Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Bergen, N-5020 Bergen, Norway; Univ Chicago, Chicago, IL 60637 USA"
WOS:000999692200001,"Beraja, M; Kao, AD; Yang, DY; Yuchtman, N","Beraja, Martin; Kao, Andrew; Yang, David Y.; Yuchtman, Noam","[Beraja, Martin] MIT, Cambridge, MA 02139 USA; [Beraja, Martin; Yang, David Y.] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Kao, Andrew; Yang, David Y.] Harvard Univ, Cambridge, MA USA; [Yang, David Y.] Canadian Inst Adv Res, Toronto, ON, Canada; [Yuchtman, Noam] London Sch Econ, London, England; [Yuchtman, Noam] Ctr Econ Policy Res, London, England; [Yuchtman, Noam] CESIFO, Munich, Germany"
WOS:000986383900001,"Korting, C; Lieberman, C; Matsudaira, J; Pei, Z; Shen, Y","Korting, Christina; Lieberman, Carl; Matsudaira, Jordan; Pei, Zhuan; Shen, Yi","[Pei, Zhuan] Univ Delaware, Newark, DE 19716 USA; US CENSUS Bur, Washington, DC 20233 USA; Columbia Univ, New York, NY 10027 USA; Cornell Univ, Ithaca, NY 14853 USA; Inst Labor Econ, Bonn, Germany"
WOS:000743312400004,"Frydman, C; Jin, LJ","Frydman, Cary; Jin, Lawrence J.","[Frydman, Cary] Univ Southern Calif, Los Angeles, CA 90007 USA; [Jin, Lawrence J.] CALTECH, Pasadena, CA 91125 USA"
WOS:000728439200002,"Lowes, S; Montero, E","Lowes, Sara; Montero, Eduardo","[Lowes, Sara] Univ Calif San Diego, La Jolla, CA 92093 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Canadian Inst Adv Res, Toronto, ON, Canada; Univ Chicago, Chicago, IL 60637 USA"
WOS:000612198000006,"Bryan, G; Choi, JJ; Karlan, D","Bryan, Gharad; Choi, James J.; Karlan, Dean","[Bryan, Gharad; Karlan, Dean] London Sch Econ, London, England; [Karlan, Dean] Innovat Poverty Act, London, England; [Karlan, Dean] MIT, Jameel Poverty Act Lab, Cambridge, MA 02139 USA; [Karlan, Dean] Ctr Econ Policy Res, London, England; [Choi, James J.] Yale Univ, New Haven, CT 06520 USA; [Choi, James J.; Karlan, Dean] NBER, Cambridge, MA 02138 USA; [Karlan, Dean] Northwestern Univ, Evanston, IL 60208 USA"
WOS:000612198000008,"Cameron, L; Seager, J; Shah, M","Cameron, Lisa; Seager, Jennifer; Shah, Manisha","[Cameron, Lisa] Univ Melbourne, Melbourne, Vic, Australia; [Seager, Jennifer] George Washington Univ, Washington, DC 20052 USA; [Shah, Manisha] Univ Calif Los Angeles, Los Angeles, CA USA; [Shah, Manisha] NBER, Cambridge, MA 02138 USA"
WOS:000612198000005,"Lian, C; Ma, YR","Lian, Chen; Ma, Yueran","[Lian, Chen] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Ma, Yueran] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA"
WOS:000507362800004,"Coibion, O; Gorodnichenko, Y; Ropele, T","Coibion, Olivier; Gorodnichenko, Yuriy; Ropele, Tiziano","[Coibion, Olivier] Univ Texas Austin, Austin, TX 78712 USA; [Coibion, Olivier; Gorodnichenko, Yuriy] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Gorodnichenko, Yuriy] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Ropele, Tiziano] Bank Italy, Rome, Italy"
WOS:000489163400007,"DellaVigna, S; Gentzkow, M","DellaVigna, Stefano; Gentzkow, Matthew","[DellaVigna, Stefano] Univ Calif Berkeley, Berkeley, CA 94720 USA; [DellaVigna, Stefano; Gentzkow, Matthew] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Gentzkow, Matthew] Stanford Univ, Stanford, CA 94305 USA"
WOS:000451281400006,"Nakamura, E; Steinsson, J; Sun, P; Villar, D","Nakamura, Emi; Steinsson, Jon; Sun, Patrick; Villar, Daniel","[Nakamura, Emi] Univ Calif Berkeley, Berkeley, CA 94720 USA; Univ Calif Berkeley, Fed Commun Commiss, Fed Reserve Board, Berkeley, CA 94720 USA"
WOS:000423802600006,"Farhi, E; Maggiori, M","Farhi, Emmanuel; Maggiori, Matteo","[Farhi, Emmanuel] Harvard Univ, NBER, Dept Econ, Cambridge, MA 02138 USA; CEPR, Cambridge, MA USA"
WOS:000359638900002,"Augenblick, N; Niederle, M; Sprenger, C","Augenblick, Ned; Niederle, Muriel; Sprenger, Charles","[Augenblick, Ned] Stanford Univ, Haas Sch Business, UC Berkeley, Stanford, CA 94305 USA; Stanford Univ, NBER, Stanford, CA 94305 USA"
WOS:000359638900006,"Edelman, B; Wright, J","Edelman, Benjamin; Wright, Julian","[Edelman, Benjamin; Wright, Julian] Natl Univ Singapore, Harvard Univ, Sch Business, Dept Econ, Singapore 117548, Singapore"
WOS:000354733000006,"Aizer, A; Doyle, JJ","Aizer, Anna; Doyle, Joseph J., Jr.","[Aizer, Anna] Brown Univ, Providence, RI 02912 USA; NBER, Cambridge, MA 02138 USA; MIT, Cambridge, MA 02139 USA"
WOS:000346660500006,"Autor, DH; Dorn, D; Hanson, GH; Song, J","Autor, David H.; Dorn, David; Hanson, Gordon H.; Song, Jae","[Autor, David H.] MIT, Cambridge, MA 02139 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Zurich, CH-8006 Zurich, Switzerland; Ctr Econ Policy Res, Sofia, Bulgaria; Univ Calif San Diego, San Diego, CA 92103 USA; US Social Secur Adm, Woodlawn, MD USA"
WOS:000346660500008,"Hjort, J","Hjort, Jonas","[Hjort, Jonas] Columbia Univ, Grad Sch Business, New York, NY 10027 USA; [Hjort, Jonas] BREAD, Washington, DC USA"
WOS:000330451700007,"Kline, P; Moretti, E","Kline, Patrick; Moretti, Enrico","[Kline, Patrick] Univ Calif Berkeley, Berkeley, CA 94720 USA; NBER, Cambridge, MA 02138 USA"
WOS:000642334600011,"Rose, EK","Rose, Evan K.","[Rose, Evan K.] Microsoft Res, Redmond, WA 98052 USA"
