UT,TI
WOS:000988607500001,Cultural Distance and Conflict-Related Sexual Violence*
WOS:000868979600001,Top Wealth in America: New Estimates Under Heterogeneous Returns*
WOS:000813226900001,Improving Management Through Worker Evaluations: Evidence from Auto Manufacturing*
WOS:000784752700001,"Imports, Exports, and Earnings Inequality: Measures of Exposure and Estimates of Incidence*"
WOS:000642334600003,"BANKING, TRADE, AND THE MAKING OF A DOMINANT CURRENCY"
WOS:000612198000011,THE EFFECT OF THE CREDIT CRUNCH ON OUTPUT PRICE DYNAMICS: THE CORPORATE INVENTORY AND LIQUIDITY MANAGEMENT CHANNEL
WOS:000489163400003,FOOD DESERTS AND THE CAUSES OF NUTRITIONAL INEQUALITY
WOS:000489161300005,THE MACRO EFFECTS OF UNEMPLOYMENT BENEFIT EXTENSIONS: A MEASUREMENT ERROR APPROACH
WOS:000435871300001,DISTRIBUTIONAL NATIONAL ACCOUNTS: METHODS AND ESTIMATES FOR THE UNITED STATES
WOS:000423802600008,TUSKEGEE AND THE HEALTH OF BLACK MEN
WOS:000412764300005,HOUSEHOLD DEBT AND BUSINESS CYCLES WORLDWIDE
WOS:000406177000010,PARTY POLARIZATION IN LEGISLATURES WITH OFFICE-MOTIVATED CANDIDATES
WOS:000383326100010,Input Specificity and the Propagation of Idiosyncratic Shocks in Production Networks*
WOS:000383326100004,Bayesian Networks and Boundedly Rational Expectations*
WOS:000359638900007,HOW DOES PEER PRESSURE AFFECT EDUCATIONAL INVESTMENTS?
WOS:000359638900008,INTERNATIONAL LIQUIDITY AND EXCHANGE RATE DYNAMICS
WOS:000354733000001,"AGGREGATE DEMAND, IDLE TIME, AND UNEMPLOYMENT"
WOS:000346660500004,FAMILY WELFARE CULTURES
WOS:000999692200001,Ai-Tocracy*
WOS:000986383900001,Visual Inference and Graphical Representation in Regression Discontinuity Designs*
WOS:000743312400004,EFFICIENT CODING AND RISKY CHOICE
WOS:000728439200002,"CONCESSIONS, VIOLENCE, AND INDIRECT RULE: EVIDENCE FROM THE CONGO FREE STATE"
WOS:000612198000006,RANDOMIZING RELIGION: THE IMPACT OF PROTESTANT EVANGELISM ON ECONOMIC OUTCOMES
WOS:000612198000008,CRIMES AGAINST MORALITY: UNINTENDED CONSEQUENCES OF CRIMINALIZING SEX WORK
WOS:000612198000005,ANATOMY OF CORPORATE BORROWING CONSTRAINTS
WOS:000507362800004,INFLATION EXPECTATIONS AND FIRM DECISIONS: NEW CAUSAL EVIDENCE
WOS:000489163400007,UNIFORM PRICING IN US RETAIL CHAINS
WOS:000451281400006,THE ELUSIVE COSTS OF INFLATION: PRICE DISPERSION DURING THE US GREAT INFLATION
WOS:000423802600006,A MODEL OF THE INTERNATIONAL MONETARY SYSTEM
WOS:000359638900002,WORKING OVER TIME: DYNAMIC INCONSISTENCY IN REAL EFFORT TASKS
WOS:000359638900006,PRICE COHERENCE AND EXCESSIVE INTERMEDIATION
